name,protein,fat,carbohydrates,sugar,sodium,calories,class,,
Strawberry & Banana Yogurt,5.0,1.5,33.0,26.0,85.0,170.0,0,,
Strawberry Banana,1.0,0.0,31.0,23.0,5.0,130.0,0,,
Banana Shake,14.0,4.0,57.0,0.0,170.0,300.0,0,,
Banana & Cream Oatmeal,3.0,2.5,26.0,9.0,170.0,130.0,0,,
Small Banana,1.1,0.3,23.0,12.0,1.0,90.0,0,,
Banana Bread Pudding,5.4953,19.7688,45.3618,32.7682,309.22,392.841,0,,
Banana Pudding,1.0,3.5,24.0,16.0,190.0,130.0,0,,
Banana Pound Cake,4.0,18.0,47.0,24.0,380.0,360.0,0,,
Banana Loaf,1.9,1.2,17.4,6.4,0.0,89.0,0,,
Banana Nut Bread,4.3,15.4,38.6,14.34,206.0,302.0,0,,
Banana Milkshake,9.0,7.0,71.0,63.0,0.0,390.0,0,,
Banana Muffin,7.0,3.0,28.0,10.0,350.0,170.0,0,,
Banana Chips,1.0,10.0,20.0,5.0,0.0,170.0,0,,
Banana Bread,3.3,4.3,34.4,0.0,198.0,187.0,0,,
Organic Banana,1.0,0.0,27.0,14.0,1.0,105.0,0,,
Banana Split,9.0,13.0,96.0,75.0,160.0,530.0,0,,
Banana Blueberry Smoothie,7.828,1.0043,39.1958,26.532,89.0134,185.073,0,,
One Medium Banana,1.3,0.4,27.0,14.0,1.0,105.0,0,,
Blueberry Banana Muffins,4.5,6.8,37.1,0.0,234.5,216.0,0,,
Blueberry Banana Pancakes,2.8,1.5,11.0,5.7,0.0,65.0,0,,
"Banana, Medium, Raw",1.0,0.4,27.0,14.0,1.0,105.0,0,,
Banana Bread,2.0,5.0,29.0,16.0,219.0,161.0,0,,
Banana Chips,1.0,9.0,19.0,3.0,0.0,160.0,0,,
Banana,1.09,0.33,22.84,12.23,1.0,89.0,0,,
Banana 1 Large,1.5,0.4,31.0,17.0,1.0,121.0,0,,
Banana Milkshake,15.0,0.5,0.0,0.0,0.0,533.0,0,,
Banana Nut Muffin,7.0,23.0,54.0,28.0,380.0,450.0,0,,
Banana Lunchbox Loaf,2.5,1.4,19.0,6.3,0.08,95.0,0,,
Strawberry Banana Smoothie,16.0,2.0,60.0,41.0,130.0,300.0,0,,
Banana (Julia's Net Carbs),1.0,0.0,29.0,15.0,1.0,110.0,0,,
Banana Malt Loaf,1.9,1.2,17.4,6.4,0.07,89.0,0,,
Banana Nut Muffin,2.0,10.0,24.0,13.0,140.0,200.0,0,,
Fair Trade Banana,1.5,0.4,29.0,26.1,0.0,125.0,0,,
Banana Cream Yogurt,11.0,4.5,18.0,18.0,45.0,160.0,0,,
Banana,1.0,0.0,23.0,12.0,1.0,90.0,0,,
Banana Chips,1.0,10.0,17.0,10.0,0.0,150.0,0,,
Banana Pancake,9.5,1.0,37.0,7.5,343.0,185.0,0,,
Banana Cream Pie,6.2,26.8,50.0,29.05,382.0,459.0,0,,
Banana Loaf,6.0,17.0,63.0,0.0,0.0,430.0,0,,
Banana Bread,6.0,11.0,30.0,20.0,0.0,230.0,0,,
Banana Yogurt,11.0,4.5,18.0,18.0,45.0,160.0,0,,
Fruit,1.0,0.0,21.0,12.0,1.0,79.0,0,,
Strawberry Banana Yogurt,5.0,0.0,14.0,9.0,75.0,80.0,0,,
Banana Pudding,2.0,3.0,19.0,13.0,140.0,110.0,0,,
Banana Nanica (Bel),1.4,0.1,23.8,0.0,0.0,92.0,0,,
Fried Eggs,5.5,6.7,0.5,0.23,123.0,86.0,1,,
Fried Eggs,11.0,13.0,0.6,0.0,260.0,170.0,1,,
2 Fried Eggs,11.0,13.0,0.6,0.0,260.0,170.0,1,,
2 Fried Eggs,12.5,14.0,2.0,0.0,410.0,184.0,1,,
Medium Fried Egg,5.0,4.5,0.4,0.0,60.0,70.0,1,,
Two Eggs-fried,13.0,21.0,0.0,0.0,193.0,242.0,1,,
Fried Eggs - Jumbo,7.0,8.37,0.53,0.47,100.0,100.0,1,,
Fried/basted Eggs,11.0,16.0,1.0,0.0,200.0,190.0,1,,
"Kj Eggs, Fried, Over Easy 1=550kj",12.0,9.0,2.0,0.0,130.0,140.0,1,,
Large Fried Eggs,6.25,7.04,0.4,0.35,94.0,92.0,1,,
2 Fried Eggs Medium,12.0,14.0,0.8,0.4,190.0,180.0,1,,
Bacon and Fried Eggs,20.8,22.4,1.7,0.5,471.0,280.0,1,,
(2) Fried Eggs,13.0,12.0,1.0,0.0,160.0,170.0,1,,
Fried Eggs With Hotdog,6.0,6.5,0.0,0.0,0.1,225.0,1,,
1 Large Egg Fried,6.0,4.5,1.0,0.0,65.0,70.0,1,,
Medium Fried Eggs,6.0,4.0,1.0,0.0,55.0,70.0,1,,
Sweets - Fried Eggs,0.0,0.0,1.9,0.0,0.0,10.0,1,,
3 80 Cal Eggs,18.0,15.0,0.0,0.0,210.0,240.0,1,,
Eggs,14.0,10.0,2.0,0.0,0.0,170.0,1,,
Country-fried Steak & Eggs,31.0,72.0,42.0,2.0,1900.0,940.0,1,,
Eggs,6.0,5.0,0.0,0.0,70.0,70.0,1,,
2 Fried Eggs In Butter,12.0,14.0,0.0,0.0,394.0,177.0,1,,
Fried Eggs (Olive Oil),6.0,10.0,1.0,1.0,62.0,80.0,1,,
Eggs,6.0,5.0,0.0,0.0,70.0,70.0,1,,
Eggs,8.0,6.0,1.0,0.0,80.0,90.0,1,,
3 Fried Eggs In Butter,19.0,18.0,1.0,1.2,280.0,251.0,1,,
Eggs,6.0,6.2,0.0,0.0,0.0,83.0,1,,
Eggs,6.0,5.0,1.0,0.0,70.0,70.0,1,,
Fried Eggs ( Cooked With Pam) (Corrected),6.0,5.0,1.0,0.0,70.0,70.0,1,,
Eggs,6.0,4.5,1.0,0.0,70.0,70.0,1,,
"2 Jumbo, Fried",16.0,0.0,1.0,1.0,20.0,330.0,1,,
"Eggs, Fried/scrambled",6.0,5.0,0.5,0.0,72.0,71.0,1,,
Eggs,7.0,5.0,0.0,0.0,80.0,80.0,1,,
1 Fried Eggs,0.0,0.0,0.0,0.0,0.0,92.0,1,,
Eggs Fried With Pam Spray,6.0,5.0,0.0,0.0,70.0,72.0,1,,
Two Fried Large Aa Eggs,12.0,13.0,2.0,0.0,130.0,170.0,1,,
Mini Eggs,2.0,9.0,28.0,26.0,0.0,200.0,1,,
Fried Eggs - 2,12.0,13.0,9.0,8.0,270.0,200.0,1,,
Fried Eggs & Chorizo,0.0,0.0,0.0,0.0,0.0,125.0,1,,
"Protein, Large Eggs",12.0,10.0,1.0,0.0,140.0,150.0,1,,
Two Fried Eggs With Canola Spray,12.0,14.0,0.0,0.0,140.0,180.0,1,,
Fried Eggs (Large Eggs) No Added Fat or Salt,6.0,7.0,0.4,0.2,62.0,78.0,1,,
Mushrooms and Eggs,9.7,4.4,4.9,0.0,61.0,95.0,1,,
Eggs,15.0,14.0,1.0,0.0,200.0,200.0,1,,
Eggs Fried In Bacon Grease Maggie,18.0,14.09,0.81,0.0,187.68,181.0,1,,
Eggs,6.0,5.0,0.0,0.0,70.0,70.0,1,,
Liquid Eggs,6.0,0.0,1.0,1.0,115.0,30.0,1,,
Fried Catfish,16.0,12.0,7.0,0.0,244.0,199.0,1,,
Stir-fried Pumpkin With Eggs,6.9,19.2,17.4,4.0,53.0,258.0,1,,
Country-Fried Steak and Eggs,0.0,105.0,73.0,0.0,2945.0,1240.0,1,,
Brown Eggs,6.0,4.5,1.0,0.0,65.0,70.0,1,,
2 Fried Eggs on Toast,0.0,0.0,0.0,0.0,0.0,282.0,1,,
"2 Fried Eggs, Hashbrowns and Toast",20.0,10.0,58.0,0.0,520.0,350.0,1,,
Eggs,13.0,11.0,2.0,1.0,476.0,168.0,1,,
Fried Eggs and Hamburger ,0.0,11.0,0.0,0.0,0.0,306.0,1,,
3 Eggs Fried In Pam,0.0,0.0,0.0,0.0,0.0,225.0,1,,
Eggs,6.0,4.0,0.0,0.0,60.0,60.0,1,,
"Fried Eggs (2 Whites, 1 Yolk)",12.0,5.0,0.0,0.0,140.0,115.0,1,,
Cooked,6.0,5.0,0.0,0.0,0.0,70.0,1,,
Chicken-Fried Steak & Eggs (Add Choices),39.0,42.0,29.0,0.0,1620.0,660.0,1,,
Fried Cucumber With Eggs,5.24,4.76,2.73,0.0,0.0,73.96,1,,
"Eggs, Fried",12.56,26.0,0.72,0.36,142.0,264.0,1,,
